code	smiles	source
m-SAM78	Sc1ccc(cc1)c1ccccc1	Au_cas_19813-90-2_spid_2041157.out
m-SAM79	CCCCCCCCCCCCCCS	Au_cas_2079-95-0_spid_58226.out
m-SAM80	CCCCCCCCCNC(=O)CCS	Au_cas_228716-16-3_spid_21884683.out
m-SAM81	SC(C(C(C(C)C)(C)C)(C)C)(C)C	Au_cas_25103-58-6_spid_30394.out
m-SAM82	CCCCCCCCCCCCCCCS	Au_cas_25276-70-4_spid_82507.out
m-SAM83	CCCCCCC(S)(C)C	Au_cas_25360-10-5_spid_453750.out
m-SAM84	SCCOCCOCCOCCS	Au_cas_2781-02-4_spid_13208399.out
m-SAM85	CCCCCCCCCCCCCCCCCCS	Au_cas_2885-00-9_spid_16913.out
m-SAM86	CCCCCCCCCCCCCCCCS	Au_cas_2917-26-2_spid_17019.out
m-SAM87	COC(=O)CCS	Au_cas_2935-90-2_spid_17053.out
m-SAM88	NCCCCCCS	Au_cas_31098-40-5_spid_11300765.out
m-SAM89	OCCCCCCCCS	Au_cas_33065-54-2_spid_9216196.out
m-SAM90	SCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	Au_cas_34143-74-3_spid_472640.out
m-SAM91	S[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3	Au_cas_34301-54-7_spid_21169888.out
m-SAM92	SCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F	Au_cas_34451-25-7_spid_98514.out
m-SAM93	SCCCCCCCCCS	Au_cas_3489-28-9_spid_217546.out
m-SAM94	SCc1ccc(cc1)c1ccc(cc1)CS	Au_cas_43012-19-7_spid_331603.out
m-SAM95	SCCc1ccccc1	Au_cas_4410-99-5_spid_70503.out
m-SAM96	SCCCCCCCCCCCN1C=CN=C1	Au_cas_459453-56-6_spid_26666834.out
m-SAM97	SCC(C)C	Au_cas_513-44-0_spid_10118.out
m-SAM98	CCCCCCCCCCCS	Au_cas_5332-52-5_spid_56332.out
m-SAM99	SCCS	Au_cas_540-63-6_spid_13865015.out
m-SAM100	SCCC(C)C	Au_cas_541-31-1_spid_10462.out
m-SAM101	Sc1ccc(cc1)/C=C/c1ccc(cc1)S	Au_cas_614756-39-7_spid_14098911.out
m-SAM102	Sc1ccc(cc1)S	Au_cas_624-39-5_spid_3879447.out
m-SAM103	SCCCCCCCCCCCS	Au_cas_63476-06-2_spid_10659887.out
m-SAM104	Sc1ccc(cc1)c1ccc(cc1)C#N	Au_cas_64409-12-7_spid_11563254.out
m-SAM105	SCCCCCCCCCCCN=[N+]=[N-]	Au_cas_668420-70-0_spid_24770057.out
m-SAM106	Sc1ccc(cc1)c1ccc(cc1)S	Au_cas_6954-27-4_spid_73447.out
m-SAM107	SCCCCCCCCCCCCCCCC(=O)O	Au_cas_69839-68-5_spid_2761790.out
m-SAM108	SCCCCCCCCCCC(=O)O	Au_cas_71310-21-9_spid_473151.out
m-SAM109	NCCCS	Au_cas_7211-54-3_spid_171267.out
m-SAM110	CCCC[C@@H](CS)CC	Au_cas_7341-17-5_spid_99613.out
m-SAM111	OCCCCCCCCCCCS	Au_cas_73768-94-2_spid_229887.out
m-SAM112	SCCCCCCCC(=O)O	Au_cas_74328-61-3_spid_137629.out
m-SAM113	SC(C)(C)C	Au_cas_75-66-1_spid_6147.out
m-SAM114	SCCCCCCCCCCCCCCCCS	Au_cas_79028-45-8_spid_13623858.out
m-SAM115	SCCCCCCCCCCCC(=O)O	Au_cas_82001-53-4_spid_492615.out
m-SAM116	SCCOCCOCCOCCOCCOCCS	Au_cas_89141-22-0_spid_28697759.out
m-SAM117	SCC1=CN=C(C=C1)C1=CC=C(CS)C=N1	Au_cas_894105-98-7_spid_49073111.out
m-SAM118	Sc1ccc(cc1)c1ccc(cc1)c1ccccc1	Au_cas_90589-98-3_spid_23345485.out
m-SAM119	OCc1ccc(cc1)OCCCCCCS	Au_cas_912617-71-1_spid_17345625.out
m-SAM120	SCCCCCS	Au_cas_928-98-3_spid_63421.out
m-SAM121	NCCCCCCCCS	Au_cas_937706-44-0_spid_11300766.out
m-SAM122	SCC1c2ccccc2c2c1cccc2	Au_cas_957753-00-3_spid_29542139.out
